f,bound.0.025,bound.0.25,bound.0.75,bound.0.975,rp,mean_estimate
0.14621691691691693,11.336958574594044,12.59242784196405,13.692645054345563,14.563521011943397,0.39041922935464873,13.439480464468854
0.14721771771771772,11.34751188294312,12.601057154135479,13.699187765704679,14.570651700064364,0.3908774141522274,13.447057054101426
0.14821851851851853,11.35807826487219,12.608052547962954,13.706125835171967,14.576110488993885,0.3913366756384223,13.454644028693581
0.14921931931931934,11.367306892801423,12.615888163836717,13.712597175292277,14.581590760092338,0.3917970176128643,13.462241414706549
0.15022012012012012,11.376642824451691,12.623442091747927,13.718922347300158,14.587102679299525,0.3922584438930838,13.469849238700194
0.15122092092092093,11.386852635021198,12.631356072816903,13.7250519666559,14.593662033068208,0.39272095831461623,13.477467527333523
0.15222172172172174,11.397075141502578,12.639240198618436,13.732440056222464,14.600445820093656,0.39318456473110847,13.48509630736515
0.15322252252252253,11.40687286832582,12.646896118129908,13.739254516463442,14.605804550936682,0.39364926701442565,13.492735605653822
0.15422332332332334,11.416388443467184,12.654198295781818,13.745913677934706,14.611215193036012,0.3941150690547594,13.5003854491589
0.15522412412412415,11.425917288093336,12.66232779881667,13.753701139305427,14.617133960814646,0.3945819747607358,13.508045864940815
0.15622492492492493,11.43541047577029,12.670295966739033,13.760434286081683,14.622606572457183,0.3950499880595251,13.515716880161643
0.15722572572572574,11.445095129075026,12.678416800270945,13.76684423610316,14.62914152401516,0.3955191128969518,13.523398522085545
0.15822652652652652,11.455131455487837,12.685717965136728,13.773735553908699,14.635492898338633,0.39598935323760537,13.53109081807929
0.15922732732732733,11.464979878500362,12.69369242697526,13.780286484168524,14.641298507128058,0.39646071306495206,13.538793795612778
0.16022812812812814,11.472990540996587,12.70117751624635,13.786552810429107,14.648302255009359,0.3969331963814473,13.546507482259539
0.16122892892892893,11.482564436238677,12.709219448270968,13.7932797495798,14.65571659620494,0.3974068072086492,13.554231905697238
0.16222972972972974,11.492685148860089,12.718416198377433,13.79990719068904,14.661205590938023,0.3978815495873323,13.561967093708233
0.16323053053053055,11.502416600500142,12.726502397200417,13.807397308080171,14.668083592844875,0.3983574275776029,13.569713074180042
0.16423133133133133,11.512049299647977,12.734396333803726,13.815204438382281,14.674977932772412,0.39883444525901424,13.577469875105898
0.16523213213213214,11.521694278980245,12.741393512043484,13.821941886965432,14.681881734331084,0.3993126067306838,13.585237524585295
0.16623293293293295,11.532076393582077,12.74746203634785,13.828688985401067,14.68879502227182,0.39979191611141013,13.593016050824481
0.16723373373373374,11.542759477127642,12.756057676358724,13.835464592673842,14.695754705126555,0.40027237753979134,13.600805482137003
0.16823453453453455,11.553413377729875,12.765105029031004,13.842338487337981,14.702748368348184,0.40075399517434424,13.608605846944263
0.16923533533533536,11.563600451833096,12.773602870065735,13.848798413448451,14.708086540091394,0.40123677319362416,13.616417173776046
0.17023613613613614,11.573792323876038,12.781126138275521,13.854984092013957,14.712889652262508,0.4017207157963462,13.624239491271062
0.17123693693693695,11.583976726403767,12.78963201651345,13.86107454088359,14.719651361713641,0.40220582720150627,13.632072828177494
0.17223773773773776,11.594187104561103,12.797382783507333,13.867456445752923,14.727468445086329,0.4026921116485042,13.639917213353556
0.17323853853853854,11.603580914522555,12.804734383899028,13.873224626511623,14.735302361263376,0.4031795733972674,13.647772675768051
0.17423933933933936,11.613270256106798,12.81256178144837,13.87936110932229,14.742902739101837,0.40366821672837455,13.655639244500918
0.17524014014014014,11.62316190378379,12.82076314585052,13.887099461467022,14.748600720285953,0.40415804594318167,13.663516948743782
0.17624094094094095,11.63415802899633,12.82897487021573,13.893768605839599,14.755939342195822,0.4046490653639478,13.671405817800567
0.17724174174174176,11.645168115221475,12.83810943536856,13.900169237653184,14.763468542547589,0.4051412793339624,13.679305881088013
0.17824254254254254,11.655725888082834,12.846424793751453,13.907575561624826,14.77101614685791,0.40563469221767307,13.687217168136264
0.17924334334334335,11.666044996070605,12.854354322093313,13.914380542261373,14.778574272989687,0.40612930840081524,13.695139708589457
0.18024414414414416,11.676329986570975,12.862217618151284,13.92121663750141,14.784776036787239,0.40662513229054137,13.703073532206306
0.18124494494494495,11.685221892076614,12.869566084053812,13.928594919392978,14.793706683768717,0.4071221683155522,13.711018668860643
0.18224574574574576,11.696453145790725,12.877780033709266,13.935573213376117,14.801312058417443,0.4076204209262287,13.71897514854207
0.18324654654654657,11.707352637848643,12.885778759036667,13.942359839804727,14.808155277999715,0.40811989459476455,13.72694300135647
0.18424734734734735,11.717740436010018,12.895491169379643,13.949112107105378,14.815474028811499,0.4086205938153003,13.734922257526694
0.18524814814814816,11.728092192497018,12.903826104559771,13.956448588539173,14.821987625962125,0.40912252310405806,13.742912947393078
0.18624894894894897,11.736930338151755,12.911871981918612,13.963139655367723,14.828318242903425,0.40962568699947705,13.750915101414089
0.18724974974974976,11.747864211377482,12.919735246459918,13.969558737191718,14.835219744138868,0.41013009006235085,13.75892875016691
0.18825055055055057,11.757476668012902,12.927902171921609,13.975459620997846,14.841911475311507,0.4106357368759647,13.76695392434807
0.18925135135135138,11.76844337115417,12.935999312951543,13.981808175814894,14.847882260374329,0.41114263204623464,13.774990654774049
0.19025215215215216,11.777915805057694,12.943763259754343,13.989577002332778,14.853853801729972,0.41165078020184737,13.783038972381872
0.19125295295295297,11.787919063040668,12.951482928975043,13.99685121648005,14.860218427320255,0.41216018599440085,13.791098908229785
0.19225375375375375,11.798409783615371,12.95988980434844,14.00481162495445,14.867901053809778,0.4126708540985466,13.799170493497812
0.19325455455455456,11.80813601308295,12.967639269851569,14.012122055902287,14.875731670767445,0.4131827892121324,13.807253759488452
0.19425535535535537,11.817907771397204,12.976367375813183,14.018702769603848,14.88118552607539,0.41369599605634666,13.815348737627245
0.19525615615615616,11.8284936773641,12.984143268094426,14.025668933267221,14.887867187467297,0.41421047937586314,13.823455459463473
0.19625695695695697,11.83935488964188,12.992592445896307,14.033020824635589,14.895309691824231,0.41472624393898766,13.831573956670766
0.19725775775775778,11.850553564046772,13.001567973548408,14.040383381111818,14.903512634184432,0.4152432945378049,13.839704261047741
0.19825855855855856,11.8609399570873,13.010294850607293,14.047578247073018,14.912169361403981,0.4157616359883272,13.847846404518684
0.19925935935935937,11.871127092053305,13.019626644394162,14.054813504959963,14.91855518648225,0.41628127313064395,13.856000419134173
