date,obs,p,rp
1941-03-06T00:00:00Z,15.9,0.5060728744939271,0.6748633879781422
1941-05-15T00:00:00Z,19.7,0.6983805668016194,1.1051454138702461
1941-07-09T00:00:00Z,12.9,0.1214574898785425,0.3794162826420891
1941-07-14T00:00:00Z,49,0.9878542510121457,27.44444444444444
1941-07-15T00:00:00Z,14.299999999999999,0.31376518218623484,0.48574237954768934
1941-07-16T00:00:00Z,29.9,0.8603238866396761,2.3864734299516903
1941-10-01T00:00:00Z,17.8,0.6012145748987854,0.8358714043993231
1942-06-08T00:00:00Z,17.299999999999997,0.5708502024291497,0.7767295597484276
1942-06-10T00:00:00Z,26.4,0.805668016194332,1.7152777777777783
1942-06-11T00:00:00Z,14.399999999999999,0.3299595141700405,0.4974823766364551
1943-04-01T00:00:00Z,13.5,0.23279352226720648,0.4344766930518909
1943-07-21T00:00:00Z,31.5,0.8785425101214575,2.7444444444444436
1944-06-14T00:00:00Z,16.3,0.5182186234817814,0.6918767507002802
1944-06-18T00:00:00Z,15.8,0.4939271255060729,0.6586666666666666
1944-06-19T00:00:00Z,14.8,0.4089068825910931,0.5639269406392694
1945-07-22T00:00:00Z,16.4,0.5303643724696356,0.7097701149425287
1945-07-28T00:00:00Z,14.5,0.354251012145749,0.51619644723092994
1946-06-13T00:00:00Z,18.2,0.6295546558704453,0.8998178506375227
1946-07-07T00:00:00Z,33.8,0.8906882591093117,3.0493827160493816
1946-07-09T00:00:00Z,13,0.14777327935222673,0.391132224861441
1947-07-08T00:00:00Z,17.4,0.5850202429149798,0.8032520325203253
1948-07-14T00:00:00Z,17.599999999999998,0.5910931174089069,0.8151815181518152
1949-05-22T00:00:00Z,15.3,0.46153846153846156,0.6190476190476191
1950-05-09T00:00:00Z,32.5,0.8825910931174089,2.839080459770115
1950-07-10T00:00:00Z,23.099999999999998,0.7530364372469636,1.3497267759562843
1950-07-23T00:00:00Z,18.7,0.6639676113360324,0.991967871485944
1950-08-02T00:00:00Z,15.1,0.44129554655870445,0.5966183574879228
1950-09-17T00:00:00Z,13.8,0.27125506072874495,0.45740740740740743
1951-04-28T00:00:00Z,14.7,0.39878542510121456,0.5544332210998878
1951-05-10T00:00:00Z,16.4,0.5303643724696356,0.7097701149425287
1951-05-11T00:00:00Z,13.3,0.20850202429149797,0.42114236999147486
1951-06-09T00:00:00Z,20.1,0.7105263157894737,1.1515151515151516
1951-07-15T00:00:00Z,31,0.8744939271255061,2.6559139784946244
1951-07-16T00:00:00Z,38,0.9473684210526315,6.333333333333328
1951-08-16T00:00:00Z,14.600000000000001,0.38866396761133604,0.5452538631346578
1951-08-17T00:00:00Z,13.100000000000001,0.18218623481781376,0.4075907590759076
1952-08-16T00:00:00Z,16.4,0.5303643724696356,0.7097701149425287
1953-07-30T00:00:00Z,37.4,0.9331983805668016,4.989898989898989
1954-07-06T00:00:00Z,14.4,0.340080971659919,0.5051124744376277
1954-07-07T00:00:00Z,13,0.14777327935222673,0.391132224861441
1954-09-21T00:00:00Z,12.4,0.030364372469635626,0.34377174669450244
1955-08-16T00:00:00Z,25.599999999999998,0.7935222672064778,1.6143790849673207
1955-09-13T00:00:00Z,12.4,0.030364372469635626,0.34377174669450244
1956-05-25T00:00:00Z,18.1,0.6214574898785425,0.8805704099821748
1956-06-01T00:00:00Z,24.5,0.771255060728745,1.457227138643068
1956-06-02T00:00:00Z,21.1,0.7246963562753036,1.2107843137254901
1956-06-09T00:00:00Z,14,0.2894736842105263,0.46913580246913583
1958-08-12T00:00:00Z,23.9,0.7651821862348178,1.4195402298850575
1959-04-11T00:00:00Z,14.5,0.354251012145749,0.51619644723092994
1959-07-20T00:00:00Z,17.8,0.6012145748987854,0.8358714043993231
1959-07-29T00:00:00Z,37.9,0.9433198380566802,5.880952380952383
1959-08-12T00:00:00Z,36.4,0.9109311740890689,3.7424242424242444
1960-06-10T00:00:00Z,22.099999999999998,0.7368421052631579,1.2666666666666664
1960-06-14T00:00:00Z,14.600000000000001,0.38866396761133604,0.5452538631346578
1960-08-12T00:00:00Z,15.1,0.44129554655870445,0.5966183574879228
1960-08-13T00:00:00Z,13.9,0.2793522267206478,0.4625468164794008
1961-04-26T00:00:00Z,14.1,0.2975708502024291,0.47454370797310275
1961-04-30T00:00:00Z,13.9,0.2793522267206478,0.4625468164794008
1961-05-06T00:00:00Z,19.1,0.6842105263157895,1.0555555555555556
1961-05-29T00:00:00Z,12.9,0.1214574898785425,0.3794162826420891
1961-06-03T00:00:00Z,16.4,0.5303643724696356,0.7097701149425287
1961-07-04T00:00:00Z,18.3,0.64574898785425106,0.9409523809523811
1963-05-29T00:00:00Z,13,0.14777327935222673,0.391132224861441
1963-08-30T00:00:00Z,16.1,0.5141700404858299,0.686111111111111
1964-10-09T00:00:00Z,12.899999999999999,0.10323886639676114,0.37170805116629047
1965-06-05T00:00:00Z,25,0.7854251012145749,1.5534591194968552
1965-06-21T00:00:00Z,45.8,0.9757085020242915,13.72222222222222
1965-06-28T00:00:00Z,14.7,0.39878542510121456,0.5544332210998878
1965-09-28T00:00:00Z,17.3,0.5769230769230769,0.7878787878787877
1966-06-09T00:00:00Z,18.1,0.6214574898785425,0.8805704099821748
1966-07-24T00:00:00Z,13.1,0.1700404858299595,0.40162601626016264
1966-08-19T00:00:00Z,18.8,0.6680161943319838,1.0040650406504064
1966-08-20T00:00:00Z,24.599999999999998,0.7773279352226721,1.496969696969697
1967-07-09T00:00:00Z,12.9,0.1214574898785425,0.3794162826420891
1967-07-21T00:00:00Z,14.9,0.4190283400809717,0.5737514518002323
